Number One,Number Two,GCD,Time (ms)
1123671392,239071179,1,7.9E-4
1495933823,1312038793,1,7.9E-4
1143518849,1060604757,1,7.9E-4
1401267475,469414038,1,7.9E-4
1225905556,802201870,2,7.91E-4
1893645556,561890300,4,7.91E-4
1223396090,537339851,1,0.001185
1973732477,223399497,1,0.001185
1173659686,808529260,2,0.001185
799799165,695581743,1,0.001185
1841604891,978872628,3,0.001185
320504128,128338055,1,0.001185
1445480003,77323056,1,0.001185
969497824,831544447,1,0.001185
1767395475,738379113,3,0.001185
1939949207,1851609426,1,0.001185
445397026,34557997,1,0.001185
1527773693,923932973,1,0.001185
1919217560,1861023165,5,0.001185
1622238887,758091204,1,0.001185
2128876932,862502616,12,0.001185
960195935,543674510,5,0.001185
1869063032,1371799579,1,0.001185
1374277550,846867012,2,0.001185
2048100996,926381774,2,0.001185
1656974946,1500878344,2,0.001185
2070219050,819746014,2,0.001185
1813575573,51425281,1,0.001185
1519999528,266499517,1,0.001185
898142714,485159406,2,0.001185
1752418850,381575858,2,0.001185
947539377,326429650,1,0.001185
1988531634,1219815786,6,0.001185
1719300470,32278770,10,0.001185
1242343224,45247984,8,0.001185
311234742,119733466,2,0.001185
1732300776,1299345984,72,0.001185
1524633372,770640318,18,0.001185
1966345578,185742531,27,0.001185
1990688906,324586625,1,0.001185
1717544013,705855688,1,0.001185
1854732254,1435738921,1,0.001185
1031178486,25297767,3,0.001185
1774063108,358123720,4,0.001185
1983688379,1048378395,1,0.001185
1015699659,201382034,1,0.001185
1413261733,1388268508,1,0.001185
1799836098,232115875,1,0.001185
1788024345,669357835,5,0.001185
2049279334,13191561,1,0.001185
1188193873,1144502090,1,0.001185
1937431180,1471856997,1,0.001185
1821390043,1517668119,11,0.001185
1875787370,344772645,5,0.001186
1866302364,683208993,3,0.001186
744846040,42933252,4,0.001186
752971778,52004296,2,0.001186
1914829749,1041870238,1,0.001186
1330034027,54005943,1,0.001186
191929976,162312997,7,0.001186
1396114918,202414738,2,0.001186
855049340,830726343,1,0.001186
1957502769,836172483,3,0.00158
795375104,637433562,2,0.00158
1602599630,1348865083,1,0.00158
2043884138,620302049,1,0.00158
425797907,114057776,1,0.00158
1299285693,537115267,1,0.00158
2089688446,1799383868,2,0.00158
636044443,436617589,1,0.00158
1964774748,580066438,2,0.00158
1277837126,265732642,2,0.00158
1308885852,450241722,6,0.00158
1608627485,299454121,1,0.00158
1234822229,832672049,1,0.00158
1204219109,10542300,1,0.00158
1646604921,900105605,1,0.00158
2038569022,315534800,14,0.00158
1636714438,656167866,2,0.00158
606136825,437247708,1,0.00158
2045163698,739577413,1,0.00158
1594520534,1134638121,1,0.00158
796508587,699124429,1,0.00158
1554818910,571438709,1,0.00158
859748820,374823483,3,0.00158
2052503494,885283921,1,0.00158
1490008734,159042338,2,0.00158
1736279814,1019557513,1,0.00158
2023828379,1867312123,1,0.00158
1968930781,1556435760,1,0.001581
1530653883,1473270635,1,0.001581
1867057900,1079559791,1,0.001581
1975592133,50106147,3,0.001581
1030195288,581607931,1,0.001581
1431517005,257436345,15,0.001581
1684416698,659435705,1,0.001976
1496269939,1051264594,1,0.00237
1887619638,1081289667,3,0.003951
1656055118,5423779,1,0.005136
139896118,126749343,1,0.005926
